BillNo,Billdate,NetAmount,Description,ConsigneeName,Transporter,Godown,TotReels,TotWeight,GAmount,VehicleNo,Distributor
KPM/2022-23/4036,05/02/2023,627347,Local,FRIGORIFICO ALLANA PVT LTD.-SE,SELF TRANSPORTER,PM3 GODOWN,26,17288,551487.2,MH43E7187,SHRINIWAS ENTERPRISES
KPM/2022-23/4037,05/02/2023,56981,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,3,1817,50876,MH46BF8385,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4038,05/02/2023,281938,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,10,8391,251730,MH46BF8385,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4039,05/02/2023,268845,Local,URJA PACKAGING P. LTD.,SABOO TRANSPORT SERVICE,PM3 GODOWN,15,7060,240040,MH15CK2654,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4040,05/02/2023,385529,Local,PATEL PACKAGING -PPPL,KHANDESH GOLDEN TRANSPORT,PM3 GODOWN,25,11961,343878.75,MH41G9559,PRANSHU PAPER PRIVATE LTD.
KPM/2022-23/4041,05/02/2023,298722,Local,FRIGORIFICO ALLANA PVT LTD.-SE,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,11,8361,266715.9,MH20AT9122,SHRINIWAS ENTERPRISES
KPM/2022-23/4042,05/02/2023,174653,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,5,5198,155940,MH46AF5399,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4043,05/02/2023,142019,Local,FRIGORIFICO ALLANA PVT LTD.-SE,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,6,3975,126802.5,MH20AT9122,SHRINIWAS ENTERPRISES
KPM/2022-23/4044,06/02/2023,366607,Local,URJA PACKAGING P. LTD.,SABOO TRANSPORT SERVICE,PM3 GODOWN,22,8278,327328,MH16AY0030,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4045,06/02/2023,314597,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,9,9363,280890,MH46BU5867,B.J. BHANDARI PAPERS PVT. LTD. - R
